,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Base Salary,Guaranteed Compensation,Date
13,Kenny Stamatopoulos,,GK,12.0,12.0,1080.0,61.0,41.0,20.0,1.67,1.0,8.0,3.0,2.0,8.3,67.2,2007,REG,4.0,4.0,Stamatopoulos,Kenny,,,
19,Zach Wells,,GK,4.0,3.0,282.0,9.0,8.0,1.0,0.33,2.0,0.0,1.0,2.0,50.0,88.9,2007,REG,1.0,1.0,Wells,Zach,,,
23,Sam Reynolds,,GK,2.0,2.0,175.0,11.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,50.0,81.8,2007,REG,1.0,1.0,Reynolds,Sam,,,
29,Matt Wideman,,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,Wideman,Matt,,,
42,Tomer Chencinski,,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,Chencinski,Tomer,,,
55,Zach Wells,,GK,17.0,17.0,1530.0,85.0,56.0,28.0,1.65,8.0,8.0,1.0,1.0,47.1,65.9,2008,REG,0.0,0.0,Wells,Zach,,,
68,Danny Cepero,,GK,2.0,2.0,180.0,11.0,5.0,6.0,3.0,1.0,1.0,0.0,0.0,50.0,45.5,2008,REG,0.0,0.0,Cepero,Danny,,,
70,Jose Carvallo,,GK,1.0,1.0,90.0,6.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,33.3,2008,REG,0.0,0.0,Carvallo,Jose,,,
71,Caleb Patterson-Sewell,,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,REG,0.0,0.0,Patterson-Sewell,Caleb,,,
76,Vito Higgins,,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,REG,0.0,0.0,Higgins,Vito,,,
87,Chris Sharpe,,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,REG,0.0,0.0,Sharpe,Chris,,,
91,Dan Benton,,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,REG,0.0,0.0,Benton,Dan,,,
